Id,Id2,Geography,Total; Estimate; Population 5 years and over,Total; Estimate; Speak only English,Total; Margin of Error; Speak only English
0500000US20123,20123,"Mitchell County, Kansas",5985,97.1,1
0500000US21213,21213,"Simpson County, Kentucky",16198,97.1,1.4
0500000US33003,33003,"Carroll County, New Hampshire",45803,97.1,0.7
0500000US38097,38097,"Traill County, North Dakota",7650,97.1,0.8
0500000US21075,21075,"Fulton County, Kentucky",6235,97,1.8
0500000US27021,27021,"Cass County, Minnesota",26800,97,0.4
0500000US27081,27081,"Lincoln County, Minnesota",5504,97,0.7
0500000US30085,30085,"Roosevelt County, Montana",9689,96.9,1.2
0500000US31129,31129,"Nuckolls County, Nebraska",4239,96.9,0.9
0500000US27095,27095,"Mille Lacs County, Minnesota",24159,96.6,0.5
0500000US47069,47069,"Hardeman County, Tennessee",25492,96.6,1.1
0500000US54089,54089,"Summers County, West Virginia",13181,96.4,1.6
0500000US20097,20097,"Kiowa County, Kansas",2380,96.1,1.5
0500000US30009,30009,"Carbon County, Montana",9710,96.1,1.1
0500000US08061,8061,"Kiowa County, Colorado",1305,96,2.8
0500000US38105,38105,"Williams County, North Dakota",23226,96,1
0500000US38067,38067,"Pembina County, North Dakota",6925,95.9,1
0500000US30077,30077,"Powell County, Montana",6774,95,1.3
0500000US20195,20195,"Trego County, Kansas",2837,94.6,2.8
0500000US02100,2100,"Haines Borough, Alaska",2483,92.1,3.5
0500000US30055,30055,"McCone County, Montana",1666,99.1,0.5
0500000US54013,54013,"Calhoun County, West Virginia",7180,99.1,0.6
0500000US54043,54043,"Lincoln County, West Virginia",20342,99.1,0.5
0500000US05077,5077,"Lee County, Arkansas",9694,99,0.7
0500000US54047,54047,"McDowell County, West Virginia",20438,99,0.4
0500000US54109,54109,"Wyoming County, West Virginia",22152,99,0.6
0500000US13309,13309,"Wheeler County, Georgia",7361,98.9,0.6
0500000US17069,17069,"Hardin County, Illinois",4041,98.9,0.8
0500000US54001,54001,"Barbour County, West Virginia",15760,98.9,0.6
0500000US05037,5037,"Cross County, Arkansas",16619,98.8,0.5
0500000US13283,13283,"Treutlen County, Georgia",6396,98.8,0.7
0500000US18055,18055,"Greene County, Indiana",31108,98.8,0.4
0500000US19009,19009,"Audubon County, Iowa",5703,98.8,0.4
0500000US28027,28027,"Coahoma County, Mississippi",23670,98.8,0.5
0500000US51011,51011,"Appomattox County, Virginia",14219,98.8,0.6
0500000US51169,51169,"Scott County, Virginia",21813,98.8,0.6
0500000US54025,54025,"Greenbrier County, West Virginia",33781,98.8,0.4
0500000US54103,54103,"Wetzel County, West Virginia",15605,98.8,0.7
0500000US05137,5137,"Stone County, Arkansas",11835,98.7,0.9
0500000US28155,28155,"Webster County, Mississippi",9486,98.7,0.5
0500000US29003,29003,"Andrew County, Missouri",16357,98.7,0.5
0500000US47169,47169,"Trousdale County, Tennessee",7408,98.7,0.7
0500000US47173,47173,"Union County, Tennessee",18002,98.7,0.6
0500000US54053,54053,"Mason County, West Virginia",25770,98.7,0.7
0500000US21095,21095,"Harlan County, Kentucky",27137,98.6,0.4
0500000US21121,21121,"Knox County, Kentucky",29847,98.6,1.1
0500000US21127,21127,"Lawrence County, Kentucky",14791,98.6,0.9
0500000US20147,20147,"Phillips County, Kansas",5254,98.5,0.7
0500000US21053,21053,"Clinton County, Kentucky",9581,98.5,0.7
0500000US28021,28021,"Claiborne County, Mississippi",8999,98.5,1
0500000US28131,28131,"Stone County, Mississippi",16738,98.5,0.6
0500000US29149,29149,"Oregon County, Missouri",10322,98.5,0.6
0500000US37073,37073,"Gates County, North Carolina",11301,98.5,0.8
0500000US17083,17083,"Jersey County, Illinois",21582,98.4,0.6
